asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
東豐社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
卓溪多功能活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
大禹社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
觀音社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
太平國小,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
太平社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
松浦社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
三民社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
古楓社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
立山社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
崙山國小,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
崙山社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
春日社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
舞鶴社區活動中心,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
靜浦國小大禮堂,W3-shelter,花蓮縣豐濱鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
德武里原住民多功能活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
港口活動中心,W3-shelter,花蓮縣豐濱鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
瑞穗青蓮寺,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花蓮縣鶴岡國民小學,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
瑞良社區活動中心,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花蓮縣瑞穗鄉瑞美國民小學,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
瑞美社區活動中心,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
奇美社區活動中心,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
紅葉社區活動中心,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
